Filter_1Values;Filter_2Values;Filter_3Values;Donut_YLabel_Technical Skills Distribution;Technical Skills;Skills;Proficiency Level;Learning Progress;Pie_YLabel_Soft Skills Evaluation;Soft Skills;HeighTable_Project Portfolio Overview1_Category;HeighTable_Project Portfolio Overview1_SubCategory;Technologies Used;Project Impact;HeighTable_Project Portfolio Overview1_Quant
julien.analyst@email.com;LinkedIn Profile;Professional Email;SQL;15;SQL;85;20;Communication;15;Customer Churn Prediction;Data Preprocessing;Pandas, NumPy;Improved Data Quality;5
+33 (0)6 12 34 56 78;GitHub Repository;Work Phone;Python;12,5;Python;75;30;Teamwork;12,5;Customer Churn Prediction;Model Development;Scikit-learn;Achieved 85% Accuracy;7
julien.analyst@email.com;LinkedIn Profile;Professional Email;Power BI;10;Power BI;65;40;Problem Solving;10;Sales Dashboard;Data Integration;ETL Processes;Unified Data Sources;6
+33 (0)6 12 34 56 78;GitHub Repository;Work Phone;Tableau;7,5;Tableau;55;50;Adaptability;7,5;Sales Dashboard;Interactive Reporting;DAX, M Language;Enhanced Decision Making;5
julien.analyst@email.com;LinkedIn Profile;Professional Email;R;5;R;45;60;Leadership;5;;;;;
+33 (0)6 12 34 56 78;GitHub Repository;Work Phone;SQL;15;Machine Learning;35;70;Communication;15;;;;;
julien.analyst@email.com;LinkedIn Profile;Professional Email;Python;12,5;Data Visualization;25;80;Teamwork;12,5;;;;;
+33 (0)6 12 34 56 78;GitHub Repository;Work Phone;Power BI;10;Statistics;15;90;Problem Solving;10;;;;;
julien.analyst@email.com;LinkedIn Profile;Professional Email;Tableau;7,5;Cloud Computing;10;95;Adaptability;7,5;;;;;
+33 (0)6 12 34 56 78;GitHub Repository;Work Phone;R;5;Big Data;5;100;Leadership;5;;;;;
