Projet;Détail;URL
P1;Démarrage & posture Business Intelligence Analyst;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2001%20%E2%80%93%20D%C3%A9marrage%20%26%20posture%20BI%20Analyst
P2;Visualisez des données avec Excel;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2002%20%E2%80%93%20Visualisation%20des%20donn%C3%A9es%20avec%20Excel
P3;Requêtez une base de données avec SQL;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2003%20%E2%80%93%20Requ%C3%AAtes%20SQL%20et%20cr%C3%A9ation%20de%20BDD
P4;Collectez des données en respectant les normes RGPD;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2004%20%E2%80%93%20Collecte%20%26%20anonymisation%20RGPD
P5;Manipulez une base de données avec SQL pour suivre la satisfaction client;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2005%20%E2%80%93%20SQL%20%26%20Satisfaction%20client
P6;Optimisez la gestion & nettoyez les données du stock d'une boutique;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2006%20%E2%80%93%20Optimisez%20la%20gestion%20%26%20nettoyez%20les%20donn%C3%A9es%20du%20stock%20d'une%20boutique
P7;Créez un tableau de bord dynamique avec Power BI pour visualiser l'avancement de projets;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2007%20%E2%80%93%20Tableau%20de%20bord%20Power%20BI-visualiser%20l'avancement%20de%20projets
P8;Réalisez une analyse de données en Python;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2008%20%E2%80%93%20Analyse%20de%20donn%C3%A9es%20en%20Python%20(Immobilier%20Paris)
P9;Améliorez les performances de l'entreprise;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2009%20%E2%80%93%20Am%C3%A9liorez%20les%20performances%20de%20l'entreprise
P10;Analysez une demande business et identifiez les segments du marché les plus pertinents pour votre client;https://github.com/julienliodenot/Portfolio-Business-Intelligence-Analyst/tree/main/Projet%2010%20%E2%80%93%20Analysez%20une%20demande%20business%20identifiez%20les%20segments%20du%20march%C3%A9%20les%20plus%20pertinents%20pour%20votre%20client
