ID;Tâche;Lot;Début;Fin;Durée_jours;%_avancement;Dépendances;Durée_reelle;debut_reel
1;Analyse du besoin client (Aéroworld);Cadrage;2025-09-01;2025-09-02;2;0;;2;2025-09-01
2;Rédaction du cahier des charges fonctionnel;Cadrage;2025-09-03;2025-09-07;5;0;1;3;2025-09-03
3;Élaboration du diagramme de Gantt;Coordination;2025-09-13;2025-09-09;2;0;2;2;2025-09-09
4;Spécifications techniques / ergonomiques / fonctionnelles;Cadrage;2025-09-08;2025-09-14;5;0;2;3;2025-09-06
5;Mockups portfolio & dashboards;Dévelopement;2025-09-15;2025-09-17;3;0;4;2;2025-09-11
6;Début développement des dashboards;Réalisation;2025-09-18;2025-09-21;4;0;5;4;2025-09-13
7;Finalisation dashboards & documentation;Réalisation;2025-09-22;2025-09-26;5;0;6;5;2025-09-17
8;Préparation & enregistrement de la vidéo Loom;Réalisation;2025-09-27;2025-09-28;2;0;7;2;2025-09-22
9;Intégration finale dans le portfolio (CMS / GitHub);Validation;2025-09-29;2025-09-29;1;0;"7;8";2;2025-09-24
10;Recette qualité & préparation de la présentation orale;Validation;2025-09-30;2025-09-30;1;0;9;1;2025-09-26
