id_client;date_demande;sexe;Tranche d'age;Enfant conduite accompagnée;Enfants;Tranche Revenus;usage_vehicule;type_vehicule;Age du vehicule;type_conduite;Tranche Tarif;points_perdus
1;25/02/2022;F;[18-28];oui;oui;[100k-149k];Commercial;Sports Car;[Moins de 10 ans];Urban;[300-599];0
2;24/05/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];2
3;24/01/2022;F;[29-45];oui;oui;[-50k];Private;Pickup;[Moins de 10 ans];Rural;[Moins de 300];0
4;20/04/2022;F;Mineur;oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];3
5;23/03/2022;M;[+65];oui;oui;[N/A];Commercial;Panel Truck;[N/A];Urban;[600-799];2
6;23/03/2022;F;[29-45];oui;oui;[50k-99k];Private;SUV;[N/A];Rural;[300-599];2
7;13/03/2022;F;[+65];oui;oui;[100k-149k];Commercial;Minivan;[Moins de 10 ans];Rural;[Moins de 300];0
8;09/03/2022;M;[+65];oui;oui;[50k-99k];Private;SUV;[10-20];Urban;[300-599];1
9;29/01/2022;M;[+65];oui;oui;[100k-149k];Private;Minivan;[N/A];Urban;[300-599];0
10;26/03/2022;F;[50-65];oui;oui;[N/A];Commercial;Panel Truck;[10-20];Urban;[300-599];1
11;26/05/2022;F;[50-65];oui;oui;[-50k];Private;Minivan;[10-20];Urban;[Moins de 300];0
12;27/01/2022;M;Mineur;oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
13;08/05/2022;F;[+65];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];0
14;02/05/2022;M;Mineur;oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Rural;[300-599];5
15;15/04/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[300-599];0
16;11/05/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[N/A];Urban;[Moins de 300];0
17;12/04/2022;F;[50-65];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[300-599];0
18;04/03/2022;F;[+65];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];1
19;05/02/2022;F;[+65];oui;oui;[50k-99k];Private;Minivan;[N/A];Urban;[Moins de 300];0
20;25/04/2022;F;[+65];oui;oui;[-50k];Private;SUV;[10-20];Urban;[Moins de 300];0
21;20/03/2022;M;[29-45];oui;oui;[50k-99k];Private;Minivan;[N/A];Rural;[Moins de 300];0
22;27/03/2022;M;[+65];oui;oui;[-50k];Private;Minivan;[N/A];Urban;[300-599];1
23;16/05/2022;F;[18-28];oui;oui;[N/A];Commercial;Van;[Moins de 10 ans];Urban;[300-599];0
24;06/02/2022;F;[+65];oui;oui;[-50k];Commercial;Sports Car;[Moins de 10 ans];Urban;[300-599];5
25;27/04/2022;M;[18-28];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[Moins de 300];1
26;13/04/2022;M;[+65];oui;oui;[N/A];Private;Minivan;[N/A];Rural;[Moins de 300];1
27;22/03/2022;F;[18-28];oui;oui;[-50k];Private;Sports Car;[Moins de 10 ans];Rural;[Moins de 300];0
28;22/04/2022;F;[29-45];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];5
29;23/03/2022;F;[50-65];oui;oui;[50k-99k];Private;SUV;[Moins de 10 ans];Urban;[800+];0
30;12/02/2022;F;[18-28];oui;oui;[100k-149k];Private;SUV;[N/A];Urban;[300-599];0
31;14/01/2022;F;[50-65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];0
32;09/04/2022;M;[29-45];oui;oui;[-50k];Commercial;Minivan;[Moins de 10 ans];Rural;[300-599];6
33;23/03/2022;F;[+65];oui;oui;[100k-149k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];3
34;04/02/2022;M;Mineur;oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Rural;[300-599];2
35;05/02/2022;M;[29-45];oui;oui;[50k-99k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
36;08/02/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[300-599];0
37;06/02/2022;F;[50-65];oui;oui;[-50k];Commercial;Sports Car;[N/A];Urban;[Moins de 300];0
38;09/02/2022;F;Mineur;oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];2
39;26/05/2022;F;[50-65];oui;oui;[+150k];Private;Minivan;[N/A];Urban;[Moins de 300];0
40;04/03/2022;M;[29-45];oui;oui;[50k-99k];Private;SUV;[N/A];Rural;[300-599];1
41;31/05/2022;F;[18-28];oui;oui;[N/A];Private;Sports Car;[10-20];Urban;[Moins de 300];0
42;30/04/2022;F;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];5
43;20/03/2022;M;[50-65];oui;oui;[-50k];Commercial;Pickup;[10-20];Urban;[Moins de 300];0
44;02/04/2022;F;[50-65];oui;oui;[50k-99k];Private;Pickup;[N/A];Urban;[300-599];0
45;02/01/2022;M;[50-65];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[300-599];0
46;24/02/2022;F;[+65];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];4
47;05/04/2022;M;[+65];oui;oui;[-50k];Private;SUV;[Moins de 10 ans];Urban;[Moins de 300];1
48;21/02/2022;F;[29-45];oui;oui;[100k-149k];Commercial;Panel Truck;[N/A];Urban;[300-599];1
49;21/03/2022;M;[+65];oui;oui;[50k-99k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];0
50;03/04/2022;F;[29-45];oui;oui;[50k-99k];Private;Van;[Moins de 10 ans];Rural;[Moins de 300];1
51;28/03/2022;F;[18-28];oui;oui;[-50k];Commercial;Pickup;[Moins de 10 ans];Urban;[300-599];7
52;21/03/2022;F;[50-65];oui;oui;[-50k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];1
53;23/05/2022;M;[18-28];oui;oui;[100k-149k];Private;Minivan;[Moins de 10 ans];Urban;[Moins de 300];0
54;03/05/2022;F;[29-45];oui;oui;[50k-99k];Private;Sports Car;[N/A];Urban;[Moins de 300];0
55;11/04/2022;F;Mineur;oui;oui;[50k-99k];Commercial;Minivan;[Moins de 10 ans];Rural;[Moins de 300];5
56;05/01/2022;M;[50-65];oui;oui;[50k-99k];Private;Van;[N/A];Urban;[300-599];0
57;14/05/2022;F;[50-65];oui;oui;[-50k];Commercial;Van;[Moins de 10 ans];Urban;[Moins de 300];4
58;20/04/2022;M;[29-45];oui;oui;[50k-99k];Private;SUV;[N/A];Urban;[Moins de 300];2
